Код зоны;Зона;ИД ячейки;Ячейка;Директория;ШК
Main;Основной склад;13146;Л-С04-9;Л-С04-9->Л-С04->Л->ОСНОВНОЙ СКЛАД;STL000131460001
Main;Основной склад;13147;Л-С05;Л-С05->Л->ОСНОВНОЙ СКЛАД->;STL000131470001
Main;Основной склад;13148;Л-С05-1;Л-С05-1->Л-С05->Л->ОСНОВНОЙ СКЛАД;STL000131480001
Main;Основной склад;13149;Л-С05-2;Л-С05-2->Л-С05->Л->ОСНОВНОЙ СКЛАД;STL000131490001
Main;Основной склад;13150;Л-С05-3;Л-С05-3->Л-С05->Л->ОСНОВНОЙ СКЛАД;STL000131500001
Main;Основной склад;13151;Л-С05-4;Л-С05-4->Л-С05->Л->ОСНОВНОЙ СКЛАД;STL000131510001
Main;Основной склад;13152;Л-С05-5;Л-С05-5->Л-С05->Л->ОСНОВНОЙ СКЛАД;STL000131520001
Main;Основной склад;13153;Л-С05-6;Л-С05-6->Л-С05->Л->ОСНОВНОЙ СКЛАД;STL000131530001
Main;Основной склад;13154;Л-С05-7;Л-С05-7->Л-С05->Л->ОСНОВНОЙ СКЛАД;STL000131540001
Main;Основной склад;13155;Л-С05-8;Л-С05-8->Л-С05->Л->ОСНОВНОЙ СКЛАД;STL000131550001
Main;Основной склад;13156;Л-С05-9;Л-С05-9->Л-С05->Л->ОСНОВНОЙ СКЛАД;STL000131560001
Main;Основной склад;13157;Л-С06;Л-С06->Л->ОСНОВНОЙ СКЛАД->;STL000131570001
Main;Основной склад;13158;Л-С06-1;Л-С06-1->Л-С06->Л->ОСНОВНОЙ СКЛАД;STL000131580001
Main;Основной склад;13159;Л-С06-2;Л-С06-2->Л-С06->Л->ОСНОВНОЙ СКЛАД;STL000131590001
Main;Основной склад;13160;Л-С06-3;Л-С06-3->Л-С06->Л->ОСНОВНОЙ СКЛАД;STL000131600001
Main;Основной склад;13161;Л-С06-4;Л-С06-4->Л-С06->Л->ОСНОВНОЙ СКЛАД;STL000131610001
Main;Основной склад;13162;Л-С06-5;Л-С06-5->Л-С06->Л->ОСНОВНОЙ СКЛАД;STL000131620001
Main;Основной склад;13163;Л-С06-6;Л-С06-6->Л-С06->Л->ОСНОВНОЙ СКЛАД;STL000131630001
Main;Основной склад;13164;Л-С06-7;Л-С06-7->Л-С06->Л->ОСНОВНОЙ СКЛАД;STL000131640001
Main;Основной склад;13165;Л-С06-8;Л-С06-8->Л-С06->Л->ОСНОВНОЙ СКЛАД;STL000131650001
Main;Основной склад;13166;Л-С06-9;Л-С06-9->Л-С06->Л->ОСНОВНОЙ СКЛАД;STL000131660001
Main;Основной склад;13167;Л-С07;Л-С07->Л->ОСНОВНОЙ СКЛАД->;STL000131670001
Main;Основной склад;13168;Л-С07-1;Л-С07-1->Л-С07->Л->ОСНОВНОЙ СКЛАД;STL000131680001
Main;Основной склад;13169;Л-С07-2;Л-С07-2->Л-С07->Л->ОСНОВНОЙ СКЛАД;STL000131690001
Main;Основной склад;13170;Л-С07-3;Л-С07-3->Л-С07->Л->ОСНОВНОЙ СКЛАД;STL000131700001
Main;Основной склад;13171;Л-С07-4;Л-С07-4->Л-С07->Л->ОСНОВНОЙ СКЛАД;STL000131710001
Main;Основной склад;13172;Л-С07-5;Л-С07-5->Л-С07->Л->ОСНОВНОЙ СКЛАД;STL000131720001
Main;Основной склад;13173;Л-С07-6;Л-С07-6->Л-С07->Л->ОСНОВНОЙ СКЛАД;STL000131730001
Main;Основной склад;13174;Л-С07-7;Л-С07-7->Л-С07->Л->ОСНОВНОЙ СКЛАД;STL000131740001
Main;Основной склад;13175;Л-С07-8;Л-С07-8->Л-С07->Л->ОСНОВНОЙ СКЛАД;STL000131750001
Main;Основной склад;13176;Л-С07-9;Л-С07-9->Л-С07->Л->ОСНОВНОЙ СКЛАД;STL000131760001
Main;Основной склад;13177;Л-С08;Л-С08->Л->ОСНОВНОЙ СКЛАД->;STL000131770001
Main;Основной склад;13178;Л-С08-1;Л-С08-1->Л-С08->Л->ОСНОВНОЙ СКЛАД;STL000131780001
Main;Основной склад;13179;Л-С08-2;Л-С08-2->Л-С08->Л->ОСНОВНОЙ СКЛАД;STL000131790001
Main;Основной склад;13180;Л-С08-3;Л-С08-3->Л-С08->Л->ОСНОВНОЙ СКЛАД;STL000131800001
Main;Основной склад;13181;Л-С08-4;Л-С08-4->Л-С08->Л->ОСНОВНОЙ СКЛАД;STL000131810001
Main;Основной склад;13182;Л-С08-5;Л-С08-5->Л-С08->Л->ОСНОВНОЙ СКЛАД;STL000131820001
Main;Основной склад;13183;Л-С08-6;Л-С08-6->Л-С08->Л->ОСНОВНОЙ СКЛАД;STL000131830001
Main;Основной склад;13184;Л-С08-7;Л-С08-7->Л-С08->Л->ОСНОВНОЙ СКЛАД;STL000131840001
Main;Основной склад;13185;Л-С08-8;Л-С08-8->Л-С08->Л->ОСНОВНОЙ СКЛАД;STL000131850001
Main;Основной склад;13186;Л-С08-9;Л-С08-9->Л-С08->Л->ОСНОВНОЙ СКЛАД;STL000131860001
Main;Основной склад;13187;Л-С09;Л-С09->Л->ОСНОВНОЙ СКЛАД->;STL000131870001
Main;Основной склад;13188;Л-С09-1;Л-С09-1->Л-С09->Л->ОСНОВНОЙ СКЛАД;STL000131880001
Main;Основной склад;13189;Л-С09-2;Л-С09-2->Л-С09->Л->ОСНОВНОЙ СКЛАД;STL000131890001
Main;Основной склад;13190;Л-С09-3;Л-С09-3->Л-С09->Л->ОСНОВНОЙ СКЛАД;STL000131900001
Main;Основной склад;13191;Л-С09-4;Л-С09-4->Л-С09->Л->ОСНОВНОЙ СКЛАД;STL000131910001
Main;Основной склад;13192;Л-С09-5;Л-С09-5->Л-С09->Л->ОСНОВНОЙ СКЛАД;STL000131920001
Main;Основной склад;13193;Л-С09-6;Л-С09-6->Л-С09->Л->ОСНОВНОЙ СКЛАД;STL000131930001
Main;Основной склад;13194;Л-С09-7;Л-С09-7->Л-С09->Л->ОСНОВНОЙ СКЛАД;STL000131940001
Main;Основной склад;13195;Л-С09-8;Л-С09-8->Л-С09->Л->ОСНОВНОЙ СКЛАД;STL000131950001
Main;Основной склад;13196;Л-С09-9;Л-С09-9->Л-С09->Л->ОСНОВНОЙ СКЛАД;STL000131960001
Main;Основной склад;13197;Л-С10;Л-С10->Л->ОСНОВНОЙ СКЛАД->;STL000131970001
Main;Основной склад;13198;Л-С10-1;Л-С10-1->Л-С10->Л->ОСНОВНОЙ СКЛАД;STL000131980001
Main;Основной склад;13199;Л-С10-2;Л-С10-2->Л-С10->Л->ОСНОВНОЙ СКЛАД;STL000131990001
Main;Основной склад;13200;Л-С10-3;Л-С10-3->Л-С10->Л->ОСНОВНОЙ СКЛАД;STL000132000001
Main;Основной склад;13201;Л-С10-4;Л-С10-4->Л-С10->Л->ОСНОВНОЙ СКЛАД;STL000132010001
Main;Основной склад;13202;Л-С10-5;Л-С10-5->Л-С10->Л->ОСНОВНОЙ СКЛАД;STL000132020001
Main;Основной склад;13203;Л-С10-6;Л-С10-6->Л-С10->Л->ОСНОВНОЙ СКЛАД;STL000132030001
Main;Основной склад;13204;Л-С10-7;Л-С10-7->Л-С10->Л->ОСНОВНОЙ СКЛАД;STL000132040001
Main;Основной склад;13205;Л-С10-8;Л-С10-8->Л-С10->Л->ОСНОВНОЙ СКЛАД;STL000132050001
Main;Основной склад;13206;Л-С10-9;Л-С10-9->Л-С10->Л->ОСНОВНОЙ СКЛАД;STL000132060001
Main;Основной склад;13207;Л-С11;Л-С11->Л->ОСНОВНОЙ СКЛАД->;STL000132070001
Main;Основной склад;13208;Л-С11-1;Л-С11-1->Л-С11->Л->ОСНОВНОЙ СКЛАД;STL000132080001
Main;Основной склад;13209;Л-С11-2;Л-С11-2->Л-С11->Л->ОСНОВНОЙ СКЛАД;STL000132090001
Main;Основной склад;13210;Л-С11-3;Л-С11-3->Л-С11->Л->ОСНОВНОЙ СКЛАД;STL000132100001
Main;Основной склад;13211;Л-С11-4;Л-С11-4->Л-С11->Л->ОСНОВНОЙ СКЛАД;STL000132110001
Main;Основной склад;13212;Л-С11-5;Л-С11-5->Л-С11->Л->ОСНОВНОЙ СКЛАД;STL000132120001
Main;Основной склад;13213;Л-С11-6;Л-С11-6->Л-С11->Л->ОСНОВНОЙ СКЛАД;STL000132130001
Main;Основной склад;13214;Л-С11-7;Л-С11-7->Л-С11->Л->ОСНОВНОЙ СКЛАД;STL000132140001
Main;Основной склад;13215;Л-С11-8;Л-С11-8->Л-С11->Л->ОСНОВНОЙ СКЛАД;STL000132150001
Main;Основной склад;13216;Л-С11-9;Л-С11-9->Л-С11->Л->ОСНОВНОЙ СКЛАД;STL000132160001
Main;Основной склад;13217;Л-С12;Л-С12->Л->ОСНОВНОЙ СКЛАД->;STL000132170001
Main;Основной склад;13218;Л-С12-1;Л-С12-1->Л-С12->Л->ОСНОВНОЙ СКЛАД;STL000132180001
Main;Основной склад;13219;Л-С12-2;Л-С12-2->Л-С12->Л->ОСНОВНОЙ СКЛАД;STL000132190001
Main;Основной склад;13220;Л-С12-3;Л-С12-3->Л-С12->Л->ОСНОВНОЙ СКЛАД;STL000132200001
